bestseller,brand,product_name,item_no,5_star,4_star,3_star,2_star,1_star,price,oz_at_price,options,sex,type,loves,reviews,dominant_color,floral,fresh ,warm,spicy|spice,earthy,woody|wood,musk|musky,vanilla,fruit|fruity,sweet,oil,rose
False,kilian,vodka on the rocks,2056893,1,0,0,0,0,295.0,1.7,['standard size'],unisex,eau de parfum spray,337,1,"(41, 41, 43)",0,0,1,1,1,1,0,0,0,0,0,1
False,rag & bone,bergamot eau de parfum,2010973,12,3,2,0,4,150.0,1.7,,unisex,,1172,21,"(236, 224, 213)",0,1,1,0,0,1,0,0,1,0,0,0
False,gucci,guilty black pour homme,1511559,46,9,4,1,1,92.0,3.0,['standard size'],men,eau de toilette spray,1885,61,"(30, 39, 38)",0,0,0,0,0,0,0,0,0,0,0,0
False,jo malone london,dark amber & ginger lily cologne intense,1946839,6,2,1,1,0,180.0,3.4,['standard size'],unisex,spray,1576,10,"(40, 32, 28)",1,0,1,0,0,1,0,0,0,0,0,0
False,maison margiela,’replica’ at the barber’s,1693696,36,8,2,1,7,126.0,3.4,,men,eau de toilette spray,2820,54,"(213, 212, 208)",0,0,0,0,1,1,0,0,0,0,1,1
False,acqua di parma,colonia,967083,46,8,6,4,5,110.0,1.7,['standard size'],men,eau de cologne spray,1779,69,"(232, 230, 206)",0,0,0,0,0,1,0,0,1,1,0,1
False,kilian,"black phantom - ""memento mori""",2056877,5,0,0,0,0,295.0,1.7,"['standard size', 'mini size']",unisex,eau de parfum spray,1325,5,"(43, 43, 44)",0,0,1,1,0,1,0,0,0,1,0,0
False,hermès,eau de citron noir,2043552,3,0,0,1,0,95.0,1.6,['standard size'],unisex,eau de cologne spray,455,3,"(15, 105, 146)",0,1,0,0,0,1,0,0,1,0,0,0
False,giorgio armani beauty,armani code,826743,194,24,7,3,2,68.0,1.7,"['standard size', 'mini size', 'value size']",men,eau de toilette spray,4883,230,"(9, 13, 13)",0,1,1,0,0,1,0,0,0,0,0,0
False,clinique,clinique happy for men,346494,67,7,0,0,1,52.0,1.7,['standard size'],men,eau de toilette spray,1498,75,"(243, 128, 29)",0,0,0,0,0,1,0,0,1,0,0,0
False,tom ford,tobacco oud intense,2128098,,,,,,320.0,1.7,,men,,65,0,"(55, 49, 44)",0,0,1,1,0,1,0,0,0,0,0,0
False,ralph lauren,polo blue,627760,130,31,4,0,3,69.0,2.5,['standard size'],men,eau de toilette spray,2191,168,"(7, 9, 141)",0,1,0,1,0,1,1,0,0,0,0,0
False,givenchy,play intense,1180280,83,8,1,0,0,65.0,1.7,['standard size'],men,eau de toilette spray,1015,92,"(37, 37, 35)",0,0,1,0,0,1,0,0,0,0,1,0
False,ralph lauren,polo red extreme,1915024,130,75,14,3,0,75.0,2.5,['standard size'],men,eau de parfum spray,407,222,"(20, 19, 19)",0,1,1,1,0,1,0,0,0,1,0,0
False,commodity,bergamot,1898410,15,4,3,2,3,135.0,3.4,"['standard size', 'mini size']",unisex,eau de parfum spray,1992,26,"(169, 166, 150)",0,1,0,0,0,1,0,0,1,0,1,0
True,gucci,gucci by gucci pour homme,1130194,117,16,7,1,1,72.0,1.7,['standard size'],men,eau de toilette spray,1765,142,"(183, 177, 172)",1,0,1,0,0,1,0,0,0,1,0,0
